"author","question"
Senior Data Scientist at Glassdoor was asked...," Basic probability & stats questions -- just go through the book Practical Statistics for Data Scientists & Brilliant.org and you'll be all set. But make sure to brush up on PM knowledge as well, since this seems to be what they're really looking for."
Data Scientist at Facebook was asked...," Given an list A of objects and another list B which is identical to A except that one element is removed, find that removed element."
Data Scientist at Uber was asked..., How would you design an incentive scheme for drivers such that they listen to your suggestion of going to areas where the demand is high. 
Data Scientist Analytics at Facebook was asked..., mapping users' high school
Data Scientist at Electronic Arts was asked..., Two hour long data science coding challenge. 
Data Scientist at Facebook was asked..., Product questions that ask you how to derive a specific metric or what data you would use to solve a specific problem
Data Scientist Interview at Instacart was asked...," How should we solve our supply / demand problems at Instacart? When an item isn't available, what algorithm should we use to replace it? Beware of questions that are functionally equivalent to ""Whats your greatest weakness"" but worded slightly differently."
Data Scientist at Airbnb was asked..., Problem solving take home exercise with raw data
Junior Data Scientist at ZapLabs was asked..., Describe one of your projects
Data Scientist at Pinterest was asked...," Write a SQL query to count the number of unique users per day who logged in from both iPhone and web, where iPhone logs and web logs are in distinct relations."
Data Scientist at Glassdoor was asked..., Q: Write a function to do integer division with strings as input Q: Why do you choose Glassdoor?
Data Scientist at Omada Health was asked..., What related projects have you done?
Data Scientist at Nastrac was asked...," introduce yourself, why nastrac, and some other behavior questions"
Data Scientist at Thumbtack was asked...," The technical challenge was the only remarkable question really and it wasn't too _difficult_ per se, just a bit unclear what level of analysis was called for. Aim for the most thorough and statistically rigorous investigation of the small dataset that you can."
Data Scientist at Cruise was asked..., Learning models and a few algorithm questions.
Data Scientist at Twitter was asked..., More or less about Graphs and Map/Reduce
Data Scientist at Lyft was asked..., Describe how to engineer the heatmap telling drivers where to go. How do you define which area will have high demand next and who do you want to go there?
Data Scientist at Lyft was asked..., How do you model the impact of surge on demand and supply?
Data Scientist at Affirm was asked..., find out which feature(s) are important in a black box model
